dialect,wer,cer,bleu,chrf,semdist
AG,21.78308823529412,8.67366783352781,64.4333165231202,87.61534666637927,0.0555236013951125
BE,22.448979591836736,10.495979506155269,62.86252664891608,86.37536362905925,0.05116929047800637
BL,16.117216117216117,5.943964388583399,71.35182207937365,91.67642611042109,0.04680512128052888
FR,18.51851851851852,7.065217391304348,59.69592123828444,87.65361536319898,0.04264496053968157
GL,8.333333333333332,4.25531914893617,85.22139235597649,92.8170289608892,0.009749402602513632
GR,9.67741935483871,4.656319290465632,77.94039052319974,91.82875214046248,0.014991243680318197
LU,18.295218295218298,8.005822416302767,68.35574112127557,88.90124146823169,0.06200779419319302
NW,25.0,10.256410256410255,66.87403049764218,98.2363296511681,0.0038907527923583984
SG,19.606087735004476,8.92742453436095,65.86396495648715,88.23549910626086,0.04073314959632939
SH,24.444444444444443,9.818181818181818,59.21463353768542,82.4397243393207,0.05233320593833923
SO,25.28409090909091,11.864406779661017,63.13009986299031,86.26016259893053,0.03300144771734873
SZ,9.523809523809524,4.2065009560229445,77.46964881139527,93.2895975791368,0.011192666159735786
TG,20.382165605095544,8.84580430172675,63.42869102242615,87.50633991737763,0.046976525783538815
UR,21.27659574468085,10.176531671858775,67.21335432967436,86.99315507200889,0.038315224647521975
VS,24.277456647398843,9.72461273666093,57.482749561599086,83.44437979418693,0.06164675951004028
ZG,29.655172413793103,12.436194895591647,52.28189723045377,85.74353418724272,0.0560188631216685
ZH,18.363136176066025,8.062939796716185,67.52584061921965,88.57603078730237,0.043553403268257775
OVERALL,20.498354489891867,9.006719935809567,65.42343753788023,87.80985808883263,0.047232396563953206
