dialect,wer,cer,bleu,chrf,semdist
AG,29.77941176470588,14.17088033190717,53.109690168086495,83.43674973332428,0.06837413322042536
BE,32.20507715281234,16.85049455632249,50.329031555017025,81.00235549391222,0.07315797744126155
BL,30.952380952380953,14.427860696517413,48.39312775316233,83.47437385546802,0.06359051664670308
FR,39.50617283950617,20.108695652173914,39.34679717274969,74.28234322122928,0.06923726626804896
GL,10.416666666666668,1.0638297872340425,84.3133085908866,99.00140812911053,0.004044751326243083
GR,17.741935483870968,10.643015521064301,66.45306270876029,86.8930082673303,0.11055274307727814
LU,32.224532224532226,14.148471615720522,51.4145842387042,82.113994641252,0.08876620905072082
NW,25.0,10.256410256410255,66.87403049764218,98.2363296511681,0.0038907527923583984
SG,29.63294538943599,15.709698137443803,50.817332787754545,82.30593694307598,0.06152594783182802
SH,31.11111111111111,14.909090909090908,45.00327707389973,78.84828431832427,0.07462821900844574
SO,31.53409090909091,17.18565234528971,51.88307153102141,83.24225970792105,0.03944767183727688
SZ,28.57142857142857,16.826003824091778,63.10913940306277,87.07932567815483,0.1477865907880995
TG,30.997876857749468,14.147228112693123,50.45808874405069,82.80564529967226,0.07074191927909851
UR,27.659574468085108,11.318795430944965,55.528009823082144,80.4027077261584,0.10698149005572001
VS,32.369942196531795,13.941480206540447,51.39549288942348,79.33975514028525,0.11215119502123665
ZG,33.793103448275865,18.097447795823665,47.351063045618424,81.89786859528638,0.0416820744673411
ZH,27.028885832187072,12.79319781078968,55.19666321707681,84.17946074303441,0.06619001179933548
OVERALL,30.171603196991065,14.940991608438367,52.06461066667823,82.63292828582662,0.0695849654641378
