dialect,wer,cer,bleu,chrf,semdist
AG,24.816176470588236,12.692856216776871,59.18535951459075,85.88363210132253,0.0600251367798558
BE,28.42210054753609,14.879385184658082,56.078707241553545,83.69778012401697,0.061392164876308344
BL,25.09157509157509,12.699659596753076,57.64777052930711,85.9875700977263,0.0630497192894971
FR,30.864197530864196,17.02898550724638,42.26371524925511,79.81615954005613,0.055472024849482944
GL,2.083333333333333,0.7978723404255319,97.35502405308318,98.68139550454883,0.009041329224904379
GR,14.516129032258066,7.6496674057649665,68.73693696959874,88.57977829643076,0.05056473116079966
LU,27.027027027027028,12.168850072780204,56.637096555955274,85.059993827761,0.07977747683431588
NW,25.0,10.256410256410255,66.87403049764218,98.2363296511681,0.0038907527923583984
SG,27.0367054610564,14.592164418754013,55.81493009235167,84.20717036737388,0.052802304255551304
SH,31.11111111111111,14.909090909090908,46.93243187134403,77.2640844933597,0.09942306578159332
SO,29.545454545454547,15.924320063066613,56.766889148198494,85.18292254863145,0.03912935654322306
SZ,19.047619047619047,10.325047801147228,67.55232559676475,88.21189635394106,0.030054244730207656
TG,26.11464968152866,12.390184792487124,56.14273028190866,85.3455115434359,0.04601207852363586
UR,22.69503546099291,9.241952232606438,65.00562493693305,84.85100329889636,0.09152710239092508
VS,27.167630057803464,12.650602409638553,57.60116795278964,82.25712776184845,0.0571626670220319
ZG,40.3448275862069,19.953596287703014,45.41777545541617,81.64158766664244,0.07597457369168599
ZH,22.283356258596974,10.779906176700548,62.28389987776022,87.32386145524288,0.04797388861576716
OVERALL,26.234132581100138,13.299455049981612,57.82122061041365,85.11403758304364,0.05736563144940214
